id	name	in_silo	verdict	maps_to	silo_detects_via	silo_docs	silo_action	probe_hits	precision	reason
AGG-change-target	Change target	yes	same definition	AGG-change-target	AGG-change-target	1				names/descriptions match (silo text is a shortened form where different)
AGG-chart-builder	Chart builder	yes	same definition	AGG-chart-builder	AGG-chart-builder	10	widened			pattern narrower than definition; new pattern sampled >= 6/8
AGG-clipboard	Clipboard paste	yes	same definition	AGG-clipboard	AGG-clipboard	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AGG-code-gen	Code generation	yes	same definition	AGG-code-gen	AGG-code-gen	12				names/descriptions match (silo text is a shortened form where different)
AGG-code-tab	Query code tab	yes	same definition	AGG-code-tab	AGG-code-tab	5				names/descriptions match (silo text is a shortened form where different)
AGG-create-view	Create view	yes	same definition	AGG-create-view	AGG-create-view	2	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
AGG-date-tags	Date tags	yes	same definition	AGG-date-tags	AGG-date-tags	4				names/descriptions match (silo text is a shortened form where different)
AGG-editor-layout	Editor layout	yes	same definition	AGG-editor-layout	AGG-editor-layout	201				names/descriptions match (silo text is a shortened form where different)
AGG-export-results	Export results	yes	same definition	AGG-export-results	AGG-export-results	1				names/descriptions match (silo text is a shortened form where different)
AGG-js-import-export	JS file import/export	yes	same definition	AGG-js-import-export	AGG-js-import-export	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AGG-keyboard	Keyboard shortcuts	yes	same definition	AGG-keyboard	AGG-keyboard	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AGG-mapreduce-editor	MapReduce editor	yes	same definition	AGG-mapreduce-editor	AGG-mapreduce-editor	108				names/descriptions match (silo text is a shortened form where different)
AGG-pagination	Result pagination	yes	same definition	AGG-pagination	AGG-pagination	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AGG-pipeline-opts	Pipeline options	yes	same definition	AGG-pipeline-opts	AGG-pipeline-opts	57				names/descriptions match (silo text is a shortened form where different)
AGG-result-formats	Export format range	yes	same definition	AGG-result-formats	AGG-result-formats	8				names/descriptions match (silo text is a shortened form where different)
AGG-save-load	Save & load pipelines	yes	same definition	AGG-save-load	AGG-save-load	6				names/descriptions match (silo text is a shortened form where different)
AGG-stage-count	Stage catalog	yes	same definition	AGG-stage-count	AGG-stage-count	118	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
AGG-stage-mgmt	Stage management	yes	same definition	AGG-stage-mgmt	AGG-stage-mgmt	24				names/descriptions match (silo text is a shortened form where different)
AGG-stage-modes	Stage edit modes	yes	same definition	AGG-stage-modes	AGG-stage-modes	5				names/descriptions match (silo text is a shortened form where different)
AGG-stage-preview	Stage preview	yes	same definition	AGG-stage-preview	AGG-stage-preview	10				names/descriptions match (silo text is a shortened form where different)
