id	scope	verdict	maps_to	silo_action	probe_hits	precision	reason
AI-001	ours-only	retire (synonym)	AI-providers		39		Same provider-set definition; silo pattern already catches 72% of hits
AI-002	ours-only	child-of	AI-multi-config		51		Runtime config controls (temperature/enable) within AI configs; Enable/config controls are covered by AI-multi-config (98% family coverage)
AI-003	ours-only	child-of	AI-nl-query		55		Studio 3T NL generation workflow spanning query/pipeline/script; NL query/pipeline generation = AI-nl-query + AI-nl-pipeline; 75% covered
AI-004	ours-only	analysis-only			18	1	Apply-generated-result; probe precision 1/5, source-code distinction
AI-005	ours-only	analysis-only			18		Local AI history restore; Studio 3T source-only, 18 hits
AI-006	ours-only	analysis-only			4		AI shortcuts; 4 hits in whole corpus
AI-007	ours-only	retire (synonym)	AI-local-mcp		130	4	"Same ""local MCP server"" meaning; never in same matrix as AI-local-mcp"
AI-008	ours-only	retire (synonym)	AI-mcp-tools		73	4	Same MCP tool-catalog meaning; never co-used
AI-009	ours-only	retire (synonym)	AI-mcp-client		31	5	Same MCP-client-compat meaning; never co-used
AI-010	ours-only	child-of	AI-stt-cli		18	5	Binary surface of stt-cli; co-exists with AI-011 in the 3T MCP matrix; stt-cli binary = AI-stt-cli
AI-011	ours-only	child-of	AI-stt-cli		18	5	Feature set of stt-cli; co-exists with AI-010 in the 3T MCP matrix; stt-cli feature set = AI-stt-cli
AI-012	ours-only	analysis-only			5		3T Explore AI agent; 5 hits, all already family-tagged
AI-context-turns	ours-only	retire (synonym)	AI-conversation		98	0	Identical definition to AI-conversation; orphan
AI-local-mcp	ours-only	feed-upstream		added to silo	130	7	Only new ID worth adding: generic MCP server; silo AI-offline-mcp (Studio 3T-bundled) catches 5%; 75 distinct uncaught snippets, 7/8 precise, 15 products
AI-mcp-client	ours-only	child-of	AI-local-mcp		22	7	Facet of the local MCP server; its phrasing is folded into the silo AI-local-mcp pattern; Fold into upstream AI-local-mcp patterns (24/31 docs overlap); client lists are matrix detail
